genus.x,specificEpithet.x,Genus synonyms,Epithet synonyms,Synonym edits,Main common name,Other common names,Excluded names,Accepted scientific name only,Accepted scientific name + common names,Accepted scientific name + common names + taxonomic synonyms,PubMed Virus Search,PubMed Central Virus Search,Scopus Virus Search,Google Scholar Virus Search 1,Google Scholar Virus Search 2,Google Scholar Virus Search 2,Google Scholar Virus Search 3
Neotoma,mexicana,Neotoma|Homodontomys|Parahodomys|Parneotoma|Teonoma|Teanopus,Neotoma_mexicana|torquata|tenuicauda|pinetorum|bullata|fallax|fulviventer|orizabae|sinaloae|distincta|navus|madrensis|ochracea|inopinata|inornata|atrata|griseoventer|scopulorum|eremita,,Mexican Woodrat,,,,,,,,,,,,
Neotoma,micropus,Neotoma|Homodontomys|Parahodomys|Parneotoma|Teonoma|Teanopus,Neotoma_micropus|canescens|surberi|littoralis|planiceps|leucophaea,,Southern Plains Woodrat,,,,,,,,,,,,
Neotoma,nelsoni,Neotoma|Homodontomys|Parahodomys|Parneotoma|Teonoma|Teanopus,Neotoma_nelsoni,,Nelson’s Woodrat,,,,,,,,,,,,
Neotoma,palatina,Neotoma|Homodontomys|Parahodomys|Parneotoma|Teonoma|Teanopus,Neotoma_palatina,,Bolaños Woodrat,,,,,,,,,,,,
Neotoma,phenax,Neotoma|Homodontomys|Parahodomys|Parneotoma|Teonoma|Teanopus,Teanopus_phenax,,Sonoran Woodrat,,,,,,,,,,,,
Neotoma,picta,Neotoma|Homodontomys|Parahodomys|Parneotoma|Teonoma|Teanopus,Neotoma_picta|picta,,Painted Woodrat,,,,,,,,,,,,
Neotoma,stephensi,Neotoma|Homodontomys|Parahodomys|Parneotoma|Teonoma|Teanopus,Neotoma_stephensi|relicta,,Stephens’s Woodrat,,,,,,,,,,,,
Neotomodon,alstoni,Neotomodon,Neotomodon_alstoni|orizabae|perotensis,,Volcano Deermouse,Mexican Volcano Mouse,,,,,,,,,,,
Nyctomys,sumichrasti,Nyctomys,sumichrasti|salvini|decolorus|nitellinus|venustulus|costaricensis|florencei|pallidulus|colimensis,,Sumichrast’s Vesper Rat,Vesper Rat,,,,,,,,,,,
Ochrotomys,nuttalli,Ochrotomys,Arvicola_nuttalli|aureolus|lewisi|flammeus|floridanus|lisae,,Golden Mouse,,,,,,,,,,,,
Oligoryzomys,fulvescens,Oligoryzomys,fulvescens|lenis|mayensis|engraciae|pacificus,,Fulvous Pygmy Rice Rat,Fulvous Colilargo|Northern Pygmy Rice Rat,,,,,,,,,,,
Ondatra,zibethicus,Ondatra|Fiber|Moschomys|Mussacus|Neondatra|Pliopotamys|Simotes,zibethicus|americana|albus|maculosa|nigra|osoyoosensis|niger|varius|pallidus|obscurus|rivalicius|macrodon|aquilonius|spatulatus|hudsonius|ripensis|occipitalis|cinnamominus|mergens|zalophus|niger|bernardi|goldmani,,Common Muskrat,Muskbeaver,,,,,,,,,,,
Onychomys,arenicola,Onychomys,Onychomys_torridus_arenicola|canus|surrufus,,Chihuahuan Grasshopper Mouse,Mearns’s Grasshopper Mouse,,,,,,,,,,,
